time,gain,v,w,obs_dist,obstacle,front,left,right
0.4,0.3,0.167,0.5666,2.778,0,2.898,3.5,3.5
0.45,0.3,0.167,0.5666,2.778,0,2.898,3.5,3.5
0.5,0.3,0.167,0.5667,2.778,0,2.898,3.5,3.5
0.55,0.3,0.167,0.5659,2.776,0,2.899,3.5,3.5
0.6,0.3,0.1674,0.5514,2.776,0,2.899,3.5,3.5
0.65,0.3,0.1677,0.5372,2.776,0,2.899,3.5,3.5
0.7,0.3,0.1681,0.5202,2.776,0,2.899,3.5,3.5
0.75,0.3,0.1689,0.4835,2.796,0,2.861,3.5,3.5
0.8,0.3,0.1693,0.4672,2.796,0,2.861,3.5,3.5
0.85,0.3,0.17,0.4352,2.796,0,2.861,3.5,3.5
0.9,0.3,0.1704,0.4201,2.796,0,2.861,3.5,3.5
0.95,0.3,0.171,0.3914,2.821,0,2.821,3.5,3.5
1.0,0.3,0.1713,0.378,2.821,0,2.821,3.5,3.5
1.05,0.3,0.1719,0.352,2.821,0,2.821,3.5,3.5
1.101,0.3,0.1722,0.34,2.821,0,2.821,3.5,3.5
1.15,0.3,0.1727,0.3166,2.792,0,2.792,3.5,3.5
1.201,0.3,0.173,0.3058,2.792,0,2.792,3.5,3.5
1.25,0.3,0.1732,0.295,2.792,0,2.792,3.5,3.5
1.3,0.3,0.1737,0.2751,2.792,0,2.792,3.5,3.5
1.35,0.3,0.1739,0.2652,2.769,0,2.769,3.5,3.5
1.4,0.3,0.1743,0.2472,2.769,0,2.769,3.5,3.5
1.45,0.3,0.1745,0.2388,2.769,0,2.769,3.5,3.5
1.5,0.3,0.1749,0.2222,2.769,0,2.769,3.5,3.5
1.55,0.3,0.1751,0.2147,2.739,0,2.739,3.5,3.5
1.6,0.3,0.1754,0.1999,2.739,0,2.739,3.5,3.5
1.65,0.3,0.1756,0.1931,2.739,0,2.739,3.5,3.5
1.7,0.3,0.1759,0.1799,2.739,0,2.739,3.5,3.5
1.75,0.3,0.176,0.1737,2.7,0,2.7,3.5,3.5
1.8,0.3,0.1763,0.1618,2.7,0,2.7,3.5,3.5
1.85,0.3,0.1764,0.1563,2.7,0,2.7,3.5,3.5
1.901,0.3,0.1767,0.1456,2.7,0,2.7,3.5,3.5
1.95,0.3,0.1768,0.1406,2.654,0,2.654,3.5,3.5
2.0,0.3,0.1769,0.1356,2.654,0,2.654,3.5,3.5
2.05,0.3,0.1771,0.1266,2.654,0,2.654,3.5,3.5
2.1,0.3,0.1772,0.1222,2.654,0,2.654,3.5,3.5
2.15,0.3,0.1774,0.1138,2.63,0,2.648,3.5,3.5
2.2,0.3,0.1775,0.11,2.63,0,2.648,3.5,3.5
2.25,0.3,0.1777,0.1024,2.63,0,2.648,3.5,3.5
2.3,0.3,0.1777,0.0989,2.63,0,2.648,3.5,3.5
2.35,0.3,0.1779,0.0921,2.592,0,2.602,3.5,3.5
2.4,0.3,0.178,0.089,2.592,0,2.602,3.5,3.5
2.45,0.3,0.1781,0.0829,2.592,0,2.602,3.5,3.5
2.5,0.3,0.1782,0.0801,2.592,0,2.602,3.5,3.5
2.55,0.3,0.1783,0.0746,2.56,0,2.608,3.5,3.5
2.601,0.3,0.1783,0.072,2.56,0,2.608,3.5,3.5
2.65,0.3,0.1784,0.0695,2.56,0,2.608,3.5,3.5
2.7,0.3,0.1785,0.0648,2.56,0,2.608,3.5,3.5
2.75,0.3,0.1786,0.0625,2.517,0,2.573,3.5,3.5
2.8,0.3,0.1787,0.0582,2.517,0,2.573,3.5,3.5
2.85,0.3,0.1787,0.0563,2.517,0,2.573,3.5,3.5
2.9,0.3,0.1788,0.0524,2.517,0,2.573,3.5,3.5
2.95,0.3,0.1788,0.0506,2.497,0,2.549,3.5,3.5
3.001,0.3,0.1789,0.0471,2.497,0,2.549,3.5,3.5
3.05,0.3,0.179,0.0455,2.497,0,2.549,3.5,3.5
3.1,0.3,0.179,0.0424,2.497,0,2.549,3.5,3.5
3.15,0.3,0.1791,0.041,2.453,0,3.114,3.5,3.5
3.2,0.3,0.1791,0.0382,2.453,0,3.114,3.5,3.5
3.25,0.3,0.1792,0.0369,2.453,0,3.114,3.5,3.5
3.3,0.3,0.1792,0.0356,2.453,0,3.114,3.5,3.5
3.351,0.3,0.1792,0.0332,2.425,0,3.114,3.5,3.5
3.4,0.3,0.1793,0.032,2.425,0,3.114,3.5,3.5
3.45,0.3,0.1793,0.0298,2.425,0,3.114,3.5,3.5
3.5,0.3,0.1793,0.0288,2.425,0,3.114,3.5,3.5
3.55,0.3,0.1794,0.0269,2.397,0,3.107,3.5,3.5
3.6,0.3,0.1794,0.0259,2.397,0,3.107,3.5,3.5
3.65,0.3,0.1794,0.0242,2.397,0,3.107,3.5,3.5
3.7,0.3,0.1795,0.0233,2.397,0,3.107,3.5,3.5
3.75,0.3,0.1795,0.0217,2.346,0,3.104,3.5,3.5
3.8,0.3,0.1795,0.021,2.346,0,3.104,3.5,3.5
